r	g	b
172	119	25
159	112	20
156	115	25
160	124	36
148	117	27
136	105	14
142	109	14
154	119	19
161	119	17
165	117	15
164	114	15
166	113	17
166	111	21
162	106	21
158	102	19
156	98	25
155	97	23
158	99	19
158	102	17
154	103	11
149	105	8
148	108	10
148	110	13
151	108	14
156	106	19
158	103	20
159	100	20
156	101	19
148	100	15
145	105	17
150	115	23
144	114	26
133	99	10
133	93	6
148	102	16
158	104	18
162	105	18
169	109	21
162	105	16
164	109	18
155	104	12
153	104	11
153	107	13
152	105	13
152	105	13
155	106	14
155	106	14
160	105	15
160	105	15
164	109	19
166	111	21
163	108	17
162	107	16
163	110	18
163	110	18
103	120	127
106	123	130
110	127	134
113	130	137
114	131	138
113	130	137
111	128	135
111	128	135
114	131	138
117	134	141
113	130	137
115	132	139
116	133	140
115	132	139
120	137	144
115	132	139
114	134	135
125	138	144
123	130	138
123	132	139
123	136	144
116	133	141
116	135	139
118	138	136
112	130	130
123	133	145
117	129	141
110	143	122
31	102	26
26	123	10
24	121	6
27	111	13
30	123	16
30	123	16
26	119	12
24	120	12
26	122	12
27	125	14
29	127	14
29	127	14
30	128	15
28	127	11
34	133	17
32	129	13
35	132	16
40	135	19
31	126	10
35	130	14
28	127	10
36	133	17
33	126	11
36	129	14
35	128	13
31	121	7
42	130	18
35	121	10
39	127	15
31	125	11
25	125	9
28	132	11
39	130	11
49	113	0
87	120	15
146	158	58
175	153	33
165	125	14
164	111	9
167	115	16
180	132	34
193	140	44
190	131	29
190	135	18
179	141	8
177	148	12
183	147	25
192	140	38
193	135	38
192	135	30
195	139	20
200	141	15
195	144	26
196	145	28
192	145	27
182	140	22
175	136	19
179	143	29
179	146	33
167	135	24
166	134	25
181	147	37
190	154	42
189	149	35
188	146	28
193	147	27
197	147	24
196	145	20
193	148	29
192	147	28
191	146	27
194	147	29
196	150	30
195	146	27
196	147	28
201	152	33
199	150	31
195	149	29
193	148	29
193	148	29
190	148	30
188	147	29
185	144	28
184	143	27
187	147	36
173	135	24
166	129	15
174	137	22
185	148	31
185	149	29
185	144	26
186	144	24
184	137	19
187	138	20
191	140	23
192	141	26
187	140	24
185	140	25
184	141	26
184	143	29
185	138	24
185	138	24
188	141	27
190	143	29
189	141	30
186	138	27
184	138	27
183	136	28
174	130	21
170	128	20
177	136	30
174	135	30
155	120	16
155	120	18
165	132	29
164	132	29
183	130	28
183	131	29
182	135	27
177	134	22
172	129	16
178	132	20
184	133	24
181	128	22
180	127	25
177	128	26
176	131	30
173	131	31
169	126	24
170	122	22
174	122	21
176	121	21
182	119	24
175	121	23
163	119	20
150	112	13
155	119	22
163	124	31
150	109	19
140	101	10
151	112	21
156	115	25
164	117	29
169	113	26
169	107	20
167	106	17
158	103	12
147	98	3
158	99	5
159	102	12
154	100	12
157	105	21
151	103	18
152	105	17
155	108	18
151	102	9
155	105	10
157	104	12
158	104	14
156	104	18
152	105	17
150	107	15
145	106	11
140	104	8
150	109	29
137	100	19
125	95	9
127	100	11
139	108	18
151	110	20
161	107	19
167	105	18
165	103	16
161	106	16
154	107	15
147	108	13
147	108	13
151	106	15
157	103	15
162	102	16
154	105	12
157	108	15
159	110	17
158	109	17
158	107	16
158	107	18
158	107	18
158	106	20
106	123	130
106	123	130
107	124	131
110	127	134
113	130	137
113	130	137
110	127	134
107	124	131
115	132	139
116	133	140
117	134	141
119	136	143
116	133	140
113	130	137
118	136	140
122	140	144
111	132	133
115	128	134
121	128	136
121	130	137
117	132	139
116	133	141
114	133	137
114	134	132
116	134	134
120	130	142
120	133	142
108	143	121
28	100	24
18	115	2
27	124	9
33	117	19
29	122	15
28	121	14
30	123	16
26	122	12
27	123	13
29	127	16
26	124	11
28	126	13
30	128	15
29	128	12
29	126	11
26	123	7
27	124	8
31	126	10
32	127	11
37	132	16
31	128	12
31	126	10
32	125	10
40	133	18
34	127	12
31	124	9
33	123	10
41	127	16
35	121	10
37	127	14
33	132	16
30	131	13
36	127	8
46	114	1
70	111	5
107	129	28
191	162	45
189	142	38
161	102	8
155	100	9
166	121	28
171	127	30
183	130	28
181	128	16
178	136	15
176	142	19
183	141	29
191	136	36
195	132	37
191	134	31
188	138	25
188	142	22
190	139	22
192	143	25
192	145	29
185	143	25
179	140	23
180	143	29
182	149	36
181	147	37
161	129	20
172	138	28
184	148	36
188	148	35
187	145	27
192	146	26
195	146	25
194	144	21
186	141	22
188	143	24
192	145	27
195	148	30
195	149	29
195	146	27
193	144	25
194	145	26
194	148	28
193	147	27
193	148	29
194	149	30
191	149	31
189	147	29
184	143	27
182	141	25
186	145	37
179	139	28
165	127	16
168	131	17
183	146	31
186	149	32
183	142	24
185	143	25
186	139	21
187	138	20
188	137	22
188	138	23
185	138	22
183	138	23
181	138	23
182	139	26
183	136	22
183	136	22
185	138	24
187	140	26
184	136	25
182	134	23
181	135	24
181	134	26
177	133	24
171	129	21
173	132	26
172	133	28
161	124	20
152	117	13
157	124	21
166	133	30
182	130	28
180	131	28
180	133	27
177	134	22
177	131	20
178	130	20
181	130	21
180	127	21
178	126	24
176	127	25
175	130	29
172	128	29
169	124	23
170	122	22
174	122	21
175	121	21
175	115	19
169	115	17
157	111	13
153	115	16
154	116	19
157	118	23
158	117	25
142	103	12
140	101	10
150	109	19
158	112	24
163	109	23
161	101	15
153	96	7
148	94	4
146	97	4
149	94	11
151	99	16
149	100	21
140	93	15
135	89	11
134	89	8
141	95	9
148	101	11
154	103	12
155	101	13
154	100	14
154	99	17
152	101	20
152	104	20
148	103	18
142	101	13
137	96	16
142	105	24
136	104	19
127	97	9
134	103	13
150	110	22
159	109	22
163	106	19
160	100	12
158	103	13
154	105	13
149	106	12
149	106	12
151	104	14
156	102	14
159	102	15
156	107	14
157	108	15
158	107	15
158	107	16
157	106	15
158	107	18
158	107	18
157	105	19
104	121	128
109	126	133
114	131	138
114	131	138
110	127	134
108	125	132
111	128	135
114	131	138
117	134	141
112	129	136
111	128	135
113	130	137
116	133	140
117	135	139
115	133	137
119	134	139
117	138	139
121	134	140
126	135	142
122	131	138
122	137	144
121	138	145
110	129	133
114	134	132
114	132	132
115	127	139
113	127	136
108	143	119
20	92	16
18	117	1
26	123	8
38	122	24
24	117	10
29	122	15
25	118	11
28	124	14
30	126	16
27	125	14
32	130	17
29	127	14
28	126	13
30	129	13
28	125	10
33	130	14
38	133	17
35	130	14
34	129	13
32	125	10
34	131	15
27	122	6
37	130	13
31	124	7
39	132	17
40	133	18
37	127	13
36	122	11
42	126	15
40	126	15
34	127	13
27	124	8
34	125	8
48	122	7
61	115	4
75	117	9
168	146	27
203	159	54
193	129	39
154	97	8
150	110	15
162	125	21
171	124	16
188	136	27
179	132	24
177	136	30
183	136	32
192	133	31
195	132	29
189	135	29
182	140	28
176	145	28
188	137	20
189	140	22
189	142	26
187	145	27
182	141	25
176	139	24
177	141	29
180	146	36
166	132	22
165	129	19
172	134	23
183	143	30
187	146	30
189	144	25
191	145	25
193	144	23
187	140	22
188	141	23
191	144	26
192	145	27
190	144	24
192	146	26
193	147	27
190	144	24
190	144	24
190	143	25
189	144	25
189	144	25
185	143	25
182	140	22
177	136	18
174	133	17
177	136	28
181	140	32
175	137	26
171	134	20
176	139	25
180	143	28
180	141	24
181	138	23
187	142	27
185	138	24
186	136	23
188	138	25
186	139	25
185	138	24
182	136	24
181	138	25
184	137	23
184	137	23
186	139	25
186	139	25
183	135	24
182	134	23
183	135	25
183	137	26
179	135	26
175	133	25
171	130	24
171	132	27
170	133	29
159	124	20
157	122	20
165	132	29
183	138	35
181	137	32
180	133	27
179	132	24
181	133	23
178	130	20
174	126	16
173	125	17
175	126	23
175	127	25
175	127	27
173	125	25
170	122	22
172	123	21
172	123	21
171	122	19
173	115	18
171	117	21
163	117	19
162	120	22
154	114	18
152	112	17
157	116	24
150	109	19
139	99	11
144	103	15
155	109	23
160	108	24
156	102	16
150	96	10
150	98	12
153	103	14
142	95	23
131	84	14
120	75	8
101	57	0
99	59	0
98	56	0
119	76	0
151	105	20
155	105	18
153	101	15
154	99	16
154	99	19
154	101	23
155	104	25
150	101	22
144	97	17
135	94	14
144	106	23
144	108	24
132	98	11
126	92	3
135	98	9
149	103	15
155	105	18
155	101	13
157	103	15
156	105	16
154	104	15
154	104	15
154	104	15
154	104	15
156	105	16
158	107	15
157	106	14
156	105	14
155	104	13
156	105	16
157	106	17
157	106	17
155	103	17
107	124	131
109	126	133
111	128	135
112	129	136
112	129	136
112	129	136
113	130	137
114	131	138
113	130	137
114	131	138
121	136	143
116	131	138
115	130	135
121	136	141
118	133	138
120	135	140
117	138	139
113	128	133
124	133	140
125	136	142
116	131	138
117	136	142
118	137	141
112	132	131
119	137	139
115	128	137
117	134	141
97	136	109
26	100	21
15	114	0
25	122	7
29	113	15
30	123	16
27	120	13
29	125	17
25	121	11
26	122	12
31	127	17
25	123	10
29	127	14
27	125	12
31	128	13
32	129	14
36	131	15
34	129	13
31	126	10
34	127	12
36	129	14
33	128	10
33	126	9
41	132	15
41	134	17
31	126	8
40	135	19
31	124	9
43	129	18
38	120	10
36	118	10
37	123	12
36	126	12
35	126	9
40	123	7
47	117	3
56	116	3
101	107	0
172	149	35
207	155	54
177	121	26
149	106	4
153	117	5
172	130	12
182	130	18
183	132	27
178	133	30
181	134	28
187	134	22
191	134	21
188	136	24
179	142	27
174	145	25
187	137	22
188	138	23
187	140	24
189	144	27
186	145	29
178	138	24
171	134	20
173	137	25
179	143	33
166	130	20
162	124	13
175	135	24
186	145	31
186	143	28
187	142	23
191	146	27
192	145	27
190	143	25
191	144	26
189	142	24
187	140	22
193	146	28
197	150	32
190	143	25
187	140	22
186	141	22
187	142	23
188	143	26
189	144	27
186	144	26
184	142	24
183	141	23
181	139	31
178	137	29
179	138	30
172	134	23
166	128	17
172	135	21
182	142	29
179	137	25
184	141	28
184	136	25
183	135	24
188	138	27
188	140	29
185	137	26
182	136	24
182	136	24
186	139	25
185	138	24
186	139	25
186	139	25
184	137	23
184	136	25
185	137	27
184	138	27
177	130	22
175	131	24
169	126	21
167	126	21
171	132	27
169	132	28
162	125	21
158	123	21
173	132	27
174	131	26
171	127	22
173	124	19
180	129	22
178	130	22
172	125	17
172	125	19
174	127	23
174	126	24
173	123	24
173	121	22
173	121	22
172	123	21
170	123	19
165	121	16
171	117	21
167	114	18
164	115	20
158	112	16
159	115	20
156	113	19
147	104	12
149	108	18
154	113	25
139	98	10
139	94	9
147	101	16
147	99	15
150	99	16
150	99	16
140	92	8
122	80	8
107	67	0
111	70	4
120	80	18
132	92	30
105	66	0
117	75	1
147	104	25
150	104	19
150	100	15
149	97	14
149	96	16
149	98	17
151	103	21
152	105	23
149	103	18
139	97	15
138	97	15
146	105	23
146	108	23
133	97	11
127	91	3
137	100	11
148	107	19
151	105	17
157	105	19
158	102	15
157	100	13
156	100	13
154	103	14
151	104	14
151	106	15
155	104	13
154	103	12
153	102	11
154	103	12
155	104	15
155	104	15
154	102	16
153	101	15
107	124	131
107	124	131
108	125	132
112	127	134
113	128	135
113	128	135
114	129	136
114	129	136
112	127	134
113	128	135
118	133	140
114	129	136
113	128	133
119	134	139
115	130	135
116	131	136
117	138	139
125	140	145
123	133	142
121	134	140
119	137	141
113	132	138
113	132	136
113	133	132
113	131	133
118	132	141
111	130	134
93	136	106
22	99	19
25	125	9
23	122	6
33	117	19
25	118	11
29	122	15
21	117	7
26	122	12
29	125	15
28	124	14
32	130	17
29	127	14
35	132	19
29	126	11
31	128	13
31	125	11
32	127	11
37	130	15
34	127	12
40	130	16
32	125	8
39	130	13
47	138	21
35	126	9
36	129	12
36	131	13
40	133	18
37	123	12
51	130	21
44	121	15
43	122	15
39	125	14
40	128	15
40	129	13
40	125	8
41	122	4
61	112	0
102	118	0
183	156	41
192	145	39
154	110	3
155	116	0
170	126	5
178	128	13
182	131	26
180	133	29
181	133	23
183	134	16
184	134	19
183	137	25
181	140	24
178	142	19
187	137	24
189	139	26
187	140	26
189	144	29
190	147	32
186	145	31
179	139	25
175	138	24
183	145	34
175	137	28
165	127	18
167	129	18
181	141	28
185	145	31
184	143	27
187	146	30
193	144	25
192	143	24
194	145	26
191	144	26
189	142	24
195	148	30
195	148	30
184	139	20
186	141	24
187	142	25
189	144	27
192	147	30
193	148	31
191	146	29
190	145	28
189	144	27
175	133	25
174	132	24
181	140	32
182	144	35
169	131	22
163	125	16
171	133	22
179	139	28
180	138	28
182	135	27
182	134	24
183	135	25
185	137	26
182	134	23
181	133	22
182	134	23
184	137	23
183	136	22
184	137	23
184	137	23
183	136	22
184	136	25
184	136	25
181	135	24
180	133	25
178	134	27
174	132	24
171	128	23
173	132	27
175	136	33
171	132	29
163	124	21
167	130	24
173	134	29
176	132	27
176	127	22
179	128	23
177	129	21
173	126	20
170	126	19
170	126	21
171	123	21
172	120	19
172	118	18
174	120	20
173	124	22
168	124	19
164	121	16
164	114	17
163	113	16
166	116	21
163	113	18
162	113	20
156	109	17
146	103	11
153	109	20
161	117	30
144	99	14
134	92	8
140	98	14
146	104	22
144	99	18
132	85	7
119	70	0
111	71	0
129	91	6
141	102	25
140	100	31
135	96	29
105	64	0
124	81	12
140	96	21
146	100	22
147	100	20
149	100	21
146	99	19
145	98	18
144	99	16
143	101	17
142	100	14
142	100	16
142	97	14
146	101	18
150	108	24
144	104	19
130	94	8
128	97	7
140	106	17
147	107	19
153	105	20
157	99	15
157	95	12
157	95	10
153	99	11
147	102	9
145	105	10
155	101	11
155	101	11
155	101	13
156	102	14
156	102	14
156	102	14
155	101	15
155	101	15
107	122	129
111	126	133
114	129	136
113	128	135
111	126	133
111	126	133
113	128	135
116	131	138
119	134	141
115	130	137
115	130	137
117	132	137
120	135	140
122	137	142
119	134	139
118	133	138
109	133	133
116	131	136
119	129	138
121	134	140
112	131	135
110	129	133
119	138	142
114	134	135
113	133	134
115	132	139
116	138	136
81	127	91
22	104	20
15	118	1
22	120	7
29	113	15
29	123	13
27	121	11
29	125	15
26	122	12
27	123	13
31	128	15
25	122	9
28	125	12
31	128	13
27	124	9
39	133	19
37	131	17
35	128	13
37	130	15
33	123	9
39	129	15
42	133	16
39	130	13
32	121	3
42	133	14
37	131	11
38	133	15
36	129	14
37	125	13
41	123	13
43	120	14
47	124	18
43	125	15
36	122	11
34	124	10
31	124	7
31	125	5
38	126	6
68	120	0
124	130	8
188	160	50
187	144	40
154	110	1
164	119	2
173	126	12
176	127	24
179	127	26
180	129	20
181	131	18
179	132	24
177	134	30
180	136	27
184	138	18
185	138	24
187	140	26
189	142	28
188	143	28
187	144	29
188	145	30
184	143	29
180	140	27
177	137	26
181	143	32
176	138	29
169	131	22
173	135	24
180	142	31
182	145	31
182	145	31
190	141	22
190	141	22
191	142	24
189	142	24
189	142	24
192	145	29
189	144	27
181	136	19
186	141	24
187	142	25
189	144	27
191	146	29
190	145	28
187	142	25
184	137	21
182	135	19
184	140	31
174	130	21
170	128	20
177	136	28
177	139	30
166	128	19
164	126	19
179	138	32
180	138	30
181	137	30
181	134	26
181	133	23
182	134	24
181	133	22
182	132	21
185	135	22
182	135	21
182	135	21
183	136	22
183	136	22
183	136	22
184	136	25
184	136	25
181	133	23
180	133	25
178	131	23
175	131	24
173	129	24
168	125	21
169	128	23
171	129	27
168	126	24
150	117	12
162	125	19
172	129	25
176	127	24
176	127	24
175	126	21
172	128	21
172	129	24
168	124	19
169	121	19
171	117	17
172	117	17
174	120	20
171	122	19
167	123	18
164	123	17
166	120	24
164	114	19
163	108	15
169	114	21
166	113	21
158	109	17
155	110	19
145	99	11
144	100	13
147	102	17
139	97	13
130	92	11
127	90	10
119	80	3
118	72	0
126	78	6
146	108	0
151	112	9
147	106	16
146	105	25
132	90	18
102	59	0
128	85	17
146	101	33
143	99	26
145	101	28
145	101	28
140	96	23
132	90	16
126	84	8
120	81	2
116	78	0
126	81	0
140	94	9
143	95	13
142	95	13
146	104	20
138	102	16
124	94	6
125	98	9
139	105	18
150	104	19
156	100	17
159	94	12
159	94	10
154	98	11
148	103	10
144	105	10
154	100	12
155	101	13
156	102	14
157	103	15
157	103	15
156	102	16
155	101	15
156	102	16
111	126	133
110	125	132
110	125	132
112	127	134
115	130	137
116	131	138
115	130	137
113	128	135
115	130	137
117	132	139
116	131	136
117	132	137
115	130	135
114	129	134
119	134	139
121	136	141
112	136	136
122	140	144
122	135	143
119	134	139
118	138	139
114	135	136
113	132	136
117	136	140
110	129	133
111	128	135
108	133	129
82	130	92
16	100	14
16	121	3
20	118	5
30	114	16
24	118	8
29	123	13
25	121	11
27	123	13
29	125	15
28	125	12
32	129	16
32	129	16
33	130	15
25	122	7
29	123	9
32	125	11
34	127	12
38	128	14
34	124	10
33	123	9
37	128	9
42	131	13
44	131	14
38	127	9
38	129	10
34	127	10
41	134	17
41	129	16
43	127	16
44	121	15
45	120	15
42	119	13
39	123	12
37	127	13
30	127	11
31	130	11
26	123	18
44	118	3
80	118	0
147	144	41
195	161	71
175	131	34
149	105	0
159	119	8
165	121	22
172	122	27
182	124	24
182	128	22
177	129	31
175	130	37
178	133	32
186	136	21
184	136	25
185	137	26
187	139	28
186	141	26
184	139	24
183	140	25
184	141	26
179	138	24
174	132	20
178	138	27
180	142	33
176	138	29
168	132	22
172	136	26
179	143	31
179	143	31
190	141	23
189	140	22
188	139	21
185	138	20
187	140	24
187	142	25
185	140	23
183	138	23
181	138	23
184	139	24
186	141	26
188	143	26
189	142	26
187	140	24
185	138	22
184	137	21
180	134	23
179	135	26
174	132	22
175	134	26
178	140	31
171	133	26
163	125	18
167	129	22
176	135	29
180	137	32
179	135	28
180	133	25
183	135	25
183	135	24
183	133	20
183	133	20
181	134	20
181	134	20
182	135	21
182	135	21
182	135	21
183	135	24
184	136	25
182	134	24
181	133	23
179	132	24
179	132	26
175	131	26
171	127	22
167	124	20
170	127	23
173	130	26
157	124	19
159	122	18
167	126	21
175	130	27
177	129	27
175	128	24
171	127	22
170	126	21
167	122	19
170	121	19
171	117	17
173	118	18
173	119	19
168	119	16
163	119	14
163	122	16
160	116	19
163	114	19
164	109	16
169	110	20
163	106	16
154	103	11
153	106	14
143	98	7
144	98	12
151	106	21
146	105	23
127	92	10
113	80	1
114	78	2
133	91	19
156	107	40
149	109	0
150	109	4
145	102	10
142	96	18
121	74	6
108	60	0
133	85	21
139	94	27
132	87	19
124	79	11
114	69	1
103	60	0
100	57	0
105	65	0
114	75	0
119	80	5
116	72	0
134	86	2
143	92	9
145	94	13
148	103	20
143	107	23
129	99	13
119	93	6
130	98	13
142	102	17
154	102	19
159	98	17
160	98	15
157	101	14
151	104	12
147	107	12
156	100	13
156	100	13
156	102	14
157	103	17
156	102	16
155	101	15
155	101	15
156	102	16
105	120	127
108	123	130
111	126	133
112	127	134
112	127	134
112	127	134
113	128	135
115	130	137
116	131	138
120	135	140
113	128	133
112	127	132
115	130	135
118	133	138
124	139	144
118	133	138
111	136	133
117	134	141
124	137	146
116	134	138
115	137	135
115	136	137
110	129	133
116	134	138
118	137	141
109	128	132
110	137	128
81	134	90
21	107	18
16	121	3
21	119	6
28	110	12
27	121	11
29	123	13
28	124	14
26	122	12
25	122	9
28	125	12
30	127	14
36	133	20
33	130	15
30	124	10
27	121	7
34	127	13
36	129	14
37	127	13
37	127	13
34	122	9
38	129	12
43	132	14
44	131	14
42	127	10
38	125	8
42	133	14
43	136	19
42	132	18
36	122	11
38	120	12
46	121	16
49	124	19
47	126	19
36	122	11
25	118	3
24	123	6
42	128	27
42	122	11
49	107	0
92	113	22
165	147	71
193	153	66
167	124	19
150	117	4
154	119	17
165	121	26
179	124	23
185	127	20
181	127	27
175	128	36
177	134	32
181	138	23
181	133	23
180	132	22
184	136	25
186	141	26
184	139	24
185	140	25
186	141	26
178	135	22
177	135	23
171	129	19
179	138	30
182	144	37
167	130	23
162	128	20
173	139	31
177	143	33
188	139	21
189	139	24
186	139	23
187	140	24
188	143	26
186	141	26
184	139	24
183	140	25
183	140	25
184	139	24
184	139	24
184	139	24
184	137	21
184	137	21
186	136	21
187	137	22
180	134	22
186	140	29
180	137	25
170	128	18
172	131	23
177	139	32
170	131	26
155	116	11
167	128	23
174	133	27
176	134	26
177	133	24
183	137	26
184	136	25
181	131	18
179	129	16
179	132	18
179	132	18
180	133	19
180	133	19
179	132	18
181	133	22
182	134	23
182	134	24
177	129	19
178	130	22
176	129	23
175	128	22
174	127	23
170	126	21
169	124	21
170	125	22
165	128	24
153	116	12
154	115	12
167	125	23
174	131	29
173	130	26
171	126	23
170	122	20
171	122	20
173	121	20
173	119	19
173	119	19
171	119	18
164	115	13
159	115	10
163	120	15
157	114	19
160	111	18
166	109	19
164	103	14
167	108	18
166	113	21
153	104	12
153	106	16
144	97	9
143	97	12
145	104	22
136	103	22
121	92	14
129	95	21
145	105	35
149	101	35
143	104	13
146	106	21
145	101	26
132	87	20
103	54	0
98	49	0
108	60	0
101	54	0
107	60	0
109	63	0
114	68	0
122	76	1
132	86	11
143	97	20
151	105	27
152	106	28
149	103	15
147	99	14
151	101	16
149	98	15
140	93	11
138	97	15
136	104	19
127	99	15
119	89	3
135	97	14
149	102	20
156	101	19
157	101	18
156	102	16
152	102	13
151	104	12
157	101	16
156	100	15
156	100	15
156	100	15
155	101	15
154	100	14
154	100	14
155	101	15
107	122	129
110	125	132
112	127	134
110	125	132
114	129	136
112	127	134
115	130	137
119	134	139
115	130	135
113	128	133
113	128	133
118	133	138
122	137	142
120	135	140
117	132	137
119	134	139
115	140	137
121	138	145
119	133	142
117	135	139
115	137	135
114	136	134
118	136	140
117	134	141
111	128	135
113	133	134
112	140	126
65	121	72
19	108	16
9	117	0
23	121	8
36	118	20
27	121	11
28	122	12
23	119	9
26	122	12
28	125	12
31	128	15
34	131	18
25	122	9
26	123	8
28	122	8
37	131	17
33	126	12
34	127	12
35	125	11
38	128	14
41	129	16
37	130	13
35	124	8
33	120	3
48	133	16
53	138	21
42	129	12
37	128	11
33	126	11
36	126	13
43	129	20
49	128	21
43	118	13
38	113	8
41	120	11
41	129	17
37	130	16
42	114	4
43	120	8
55	121	21
80	113	42
158	149	92
182	146	72
187	145	43
147	115	2
139	110	6
160	124	27
174	125	20
178	121	6
179	121	13
177	125	24
177	133	28
173	136	21
178	131	23
179	133	22
180	134	23
181	133	22
183	136	22
185	138	24
184	139	24
183	137	25
180	137	25
177	135	25
169	128	20
173	135	28
180	143	36
164	130	22
155	123	14
172	140	31
184	137	23
189	142	28
186	139	25
186	141	26
185	140	25
182	137	22
183	140	25
180	137	24
179	136	21
183	138	23
183	138	23
182	135	21
182	135	21
184	134	21
183	133	18
182	132	17
179	133	21
182	136	24
180	137	25
175	131	22
172	130	22
174	133	27
171	133	26
164	125	20
152	113	8
168	130	23
177	136	28
176	134	24
179	133	22
181	133	22
181	131	18
181	131	18
178	131	17
178	131	17
179	132	18
180	133	19
178	130	19
179	131	20
180	132	21
180	132	22
181	133	23
177	129	21
175	127	19
175	128	22
175	128	24
175	128	24
173	126	22
169	121	19
170	131	28
165	126	23
154	117	13
158	121	17
163	126	22
166	124	22
171	126	25
170	120	21
177	125	26
173	121	20
169	117	16
167	118	16
168	119	17
164	116	14
161	113	11
162	114	12
158	115	20
159	110	17
163	106	16
164	103	14
159	100	10
158	105	13
156	107	15
150	103	13
150	103	15
141	95	10
139	98	16
138	105	24
125	96	18
116	84	9
120	80	11
125	77	11
118	81	11
112	73	6
108	66	6
96	49	0
103	54	0
118	68	7
123	74	5
142	95	15
147	101	15
152	106	18
156	110	22
154	107	19
162	112	25
164	112	26
157	103	17
162	108	20
154	107	19
157	107	20
158	108	23
156	104	21
147	99	17
141	96	15
140	102	21
142	110	27
125	93	10
130	95	11
141	100	18
151	105	20
152	102	17
151	99	13
153	102	13
156	105	16
157	101	16
155	99	14
154	98	13
154	98	13
156	102	16
157	103	17
155	101	15
152	98	12
106	119	127
109	124	131
112	127	134
111	126	133
113	128	135
110	125	132
113	128	133
117	132	137
117	132	137
113	128	133
117	132	137
120	135	140
113	131	135
113	131	135
118	136	140
119	137	141
114	136	134
118	135	142
117	131	140
117	135	139
116	138	135
116	136	135
117	135	139
117	131	140
116	133	140
113	133	132
107	138	122
61	119	68
18	109	14
10	118	0
23	120	7
34	114	17
24	118	8
29	123	13
28	125	12
29	126	13
27	124	11
26	123	10
31	128	15
28	125	10
28	125	10
31	128	13
36	130	16
35	128	14
28	121	6
42	132	18
36	126	12
40	130	16
33	126	9
37	128	11
42	129	14
43	126	10
43	126	10
44	129	12
40	129	13
35	128	13
34	128	14
38	127	17
40	123	15
45	120	15
50	123	18
45	120	15
39	118	9
35	121	10
55	127	2
42	116	3
39	103	19
113	144	100
146	141	111
156	124	73
184	147	59
170	135	33
140	108	9
146	112	15
162	120	12
172	121	3
183	123	11
186	127	25
179	132	28
176	139	25
180	133	25
181	134	26
180	134	23
181	133	22
182	135	21
184	137	23
185	138	24
183	137	25
176	130	19
178	134	25
174	132	24
172	134	27
178	141	34
176	142	34
166	134	25
160	128	19
181	135	23
184	138	26
180	137	24
183	140	27
185	142	29
182	139	26
180	137	24
182	139	26
185	139	27
184	139	24
182	137	22
181	134	20
183	136	22
186	136	23
185	135	22
185	135	22
179	134	19
178	133	18
180	134	22
178	135	23
173	131	21
171	130	22
173	132	26
171	132	27
166	127	22
164	126	19
169	131	22
178	138	27
178	135	23
178	132	20
179	132	18
179	129	16
180	132	21
179	131	20
180	132	21
180	132	21
178	130	19
178	130	19
180	132	21
179	131	21
180	132	22
179	131	23
179	131	23
180	131	26
181	132	29
178	129	26
172	125	21
169	122	18
169	126	24
171	129	27
167	129	28
153	120	17
155	122	19
167	129	28
167	123	24
171	121	24
174	120	22
174	120	22
171	119	20
166	118	18
166	118	18
165	117	17
164	114	15
167	115	16
161	117	22
161	112	19
164	107	17
163	102	13
161	102	12
161	106	15
159	108	17
156	107	15
156	106	19
150	102	17
141	99	15
134	99	17
122	91	11
104	70	0
97	57	0
102	57	0
101	67	0
112	75	7
117	76	10
123	78	13
142	95	27
157	108	32
156	108	23
159	112	20
160	114	16
155	109	11
158	112	16
157	108	15
157	103	13
164	109	19
167	107	19
161	100	11
153	106	16
156	106	17
156	106	19
155	105	20
151	100	17
145	98	18
142	100	18
141	103	22
140	105	23
127	95	12
129	94	10
140	102	17
149	107	21
154	106	21
159	105	19
156	100	15
156	100	17
156	100	17
154	100	14
154	100	14
155	101	15
156	102	16
155	101	15
153	99	13
110	125	132
111	126	133
111	126	133
112	127	134
115	130	137
115	130	135
114	129	134
116	131	136
118	133	138
113	128	133
113	131	135
115	133	137
113	131	135
115	133	137
119	137	141
116	134	138
114	136	134
121	138	145
123	137	148
120	138	142
114	136	133
112	132	130
116	131	136
118	130	142
115	129	138
109	129	128
104	137	116
60	119	63
22	113	18
14	122	3
24	121	8
34	111	15
29	123	11
30	124	12
27	124	11
29	126	13
30	127	14
29	126	13
32	129	16
29	126	11
30	127	12
23	120	5
30	124	10
36	130	16
37	130	16
29	122	7
31	121	7
37	127	13
37	130	15
34	124	10
37	126	10
37	121	7
42	125	9
48	131	15
39	126	11
34	127	12
32	129	14
31	125	11
40	126	17
46	123	17
43	114	10
42	113	9
43	119	11
41	120	11
39	121	0
44	117	10
52	104	40
117	140	122
139	138	134
155	139	113
166	141	77
186	151	67
159	115	28
150	105	14
161	118	14
171	123	12
177	120	15
184	124	28
177	125	26
169	128	20
174	127	21
175	128	20
174	127	19
176	128	18
178	130	19
181	134	20
183	136	22
184	136	25
179	133	22
179	135	26
177	135	27
169	128	22
168	130	23
177	140	33
171	137	29
152	120	11
168	126	16
176	134	24
182	140	30
181	139	27
182	139	27
179	136	23
178	135	22
187	141	29
183	138	23
180	135	20
178	131	17
179	132	18
184	134	21
184	134	23
182	132	21
182	132	21
177	132	17
177	132	17
180	134	22
182	136	25
176	132	23
