r	g	b
5	6	1
4	5	0
4	5	0
5	6	0
6	7	1
7	6	1
6	5	0
7	4	0
7	4	0
10	5	1
14	9	3
13	6	0
10	3	0
11	2	0
15	6	1
12	3	0
17	8	1
16	7	0
21	12	5
15	10	4
10	7	0
9	6	0
10	7	0
7	6	1
7	6	1
8	7	2
7	7	0
12	9	2
14	10	1
15	8	0
19	9	0
25	13	1
27	13	0
29	13	0
30	12	0
31	16	0
34	17	1
34	16	4
33	15	5
32	15	5
33	17	2
33	17	1
33	16	0
36	17	0
36	18	4
24	14	2
13	9	0
10	10	0
14	11	2
20	10	0
27	10	0
28	14	3
28	14	3
26	12	1
23	9	0
26	9	0
28	12	0
29	13	0
30	14	1
44	22	8
39	20	5
42	23	9
42	24	10
34	16	2
31	15	2
34	18	5
31	15	2
29	15	4
30	13	3
28	11	1
28	11	1
30	12	2
30	12	2
30	12	2
33	13	4
33	16	0
36	19	3
38	20	6
36	18	4
34	16	2
31	13	1
28	12	0
24	10	0
23	11	0
20	10	0
17	9	0
16	7	0
17	8	0
17	8	0
18	8	0
17	7	0
22	12	3
16	6	0
19	9	0
23	13	4
33	23	14
30	20	11
25	16	7
16	7	0
22	15	7
26	19	11
19	15	6
12	7	1
12	9	2
9	9	1
9	9	1
16	16	8
15	11	2
12	8	0
11	7	0
12	8	0
14	9	3
11	6	0
9	4	0
9	6	0
8	5	0
11	8	3
3	0	0
13	10	5
7	3	0
9	5	2
9	8	4
4	3	0
11	8	3
12	9	4
9	6	1
6	3	0
4	3	0
5	4	0
5	4	0
6	5	1
2	1	0
7	6	2
9	8	4
9	5	2
9	5	2
13	8	5
13	8	5
10	5	2
3	4	0
3	4	0
5	6	1
7	8	3
5	6	1
3	4	0
4	5	0
5	6	1
3	4	0
4	5	0
5	6	1
4	5	0
3	4	0
2	3	0
3	4	0
4	5	0
4	3	1
5	4	2
4	3	1
3	2	0
4	3	1
6	5	1
5	4	0
3	2	0
11	10	6
9	8	4
5	4	0
3	2	0
6	5	3
9	8	6
6	5	3
1	0	0
5	5	3
4	4	2
4	4	2
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
2	2	0
1	1	0
1	1	0
1	1	0
2	2	0
3	3	1
4	5	0
4	5	0
3	4	0
2	3	0
3	4	0
4	5	0
4	5	0
3	4	0
4	5	0
4	5	0
3	4	0
2	3	0
3	4	0
4	5	0
3	4	0
0	1	0
3	5	0
2	4	0
2	4	0
2	4	0
2	4	0
2	4	0
3	5	0
3	5	0
2	4	0
2	4	0
3	4	0
3	4	0
4	5	0
5	6	1
6	7	2
6	7	2
4	5	0
6	7	1
6	7	1
7	6	1
6	5	0
8	5	0
12	7	1
16	11	5
12	5	0
12	5	0
15	6	1
19	10	3
15	6	0
20	11	4
19	10	3
25	16	9
16	11	5
10	7	0
9	6	0
9	6	0
6	5	0
6	5	0
8	7	2
10	7	0
13	10	3
15	11	2
18	9	0
21	11	1
25	13	1
28	14	1
30	14	0
32	14	0
29	16	0
33	17	1
34	16	4
33	15	5
32	15	5
31	18	2
32	16	0
33	16	0
37	18	1
36	18	4
24	14	2
12	10	0
11	11	1
15	12	3
20	10	0
24	10	0
27	13	2
28	14	3
26	12	0
24	10	0
25	11	0
26	12	0
27	13	0
29	13	0
42	20	7
41	19	6
41	22	8
36	18	4
29	11	0
33	17	4
35	21	8
30	16	3
29	15	4
29	15	4
30	13	3
28	11	1
30	12	0
31	11	0
31	11	0
35	13	2
34	17	1
37	20	4
38	20	6
38	19	5
37	18	4
35	17	5
31	13	1
25	9	0
21	9	0
18	8	0
17	7	0
17	9	0
18	9	0
20	10	1
18	8	0
16	6	0
17	7	0
16	6	0
18	8	0
15	5	0
19	9	0
15	6	0
17	8	1
17	8	1
17	10	2
18	11	3
17	13	4
13	10	1
9	6	0
9	6	0
8	8	0
6	6	0
12	8	0
12	8	0
12	8	0
13	9	0
14	9	3
12	7	1
10	5	0
12	7	1
5	2	0
5	2	0
14	11	6
10	7	2
4	0	0
8	7	3
6	5	1
5	4	0
7	4	0
8	5	0
6	3	0
2	1	0
3	2	0
5	4	0
5	4	0
5	4	0
7	6	2
7	6	2
4	3	0
3	0	0
6	2	0
14	10	7
22	17	14
25	20	17
4	5	0
4	5	0
6	7	2
6	7	2
4	5	0
3	4	0
4	5	0
3	4	0
4	5	0
3	4	0
5	6	1
5	6	1
3	4	0
2	3	0
